Designator,Footprint,Quantity,Value,LCSC Part #
"C1_9, C1_8, C1_7, C1_6, C1_5, C1_4, C1_3, C1_2, C1",0805,9,10uF(50V),
"C10_9, C10_8, C10_7, C10_6, C10_5, C10_4, C10_3, C10_2, C10, C11_9, C11_8, C11_7, C11_6, C11_5, C11_4, C11_3, C11_2, C11",0603,18,1uF,
"C12_9, C12_8, C12_7, C12_6, C12_5, C12_4, C12_3, C12_2, C12",0805,9,100nF(10V),
"C13_9, C13_8, C13_7, C13_6, C13_5, C13_4, C13_3, C13_2, C13, C15_9, C15_8, C15_7, C15_6, C15_5, C15_4, C15_3, C15_2, C15, C2_9, C2_8, C2_7, C2_6, C2_5, C2_4, C2_3, C2_2, C2",0402,27,0.1uF(10%),
"C14_9, C14_8, C14_7, C14_6, C14_5, C14_4, C14_3, C14_2, C14, C4_9, C4_8, C4_7, C4_6, C4_5, C4_4, C4_3, C4_2, C4, C5_9, C5_8, C5_7, C5_6, C5_5, C5_4, C5_3, C5_2, C5",0805,27,100nF(50V),
"C16_9, C16_8, C16_7, C16_6, C16_5, C16_4, C16_3, C16_2, C16",0402,9,2.2uF,
"C17_9, C17_8, C17_7, C17_6, C17_5, C17_4, C17_3, C17_2, C17, C20_9, C20_8, C20_7, C20_6, C20_5, C20_4, C20_3, C20_2, C20, C21_9, C21_8, C21_7, C21_6, C21_5, C21_4, C21_3, C21_2, C21, C22_9, C22_8, C22_7, C22_6, C22_5, C22_4, C22_3, C22_2, C22, C23_9, C23_8, C23_7, C23_6, C23_5, C23_4, C23_3, C23_2, C23, C27_9, C27_8, C27_7, C27_6, C27_5, C27_4, C27_3, C27_2, C27, C29_9, C29_8, C29_7, C29_6, C29_5, C29_4, C29_3, C29_2, C29",0402,63,0.1uF,
"C18_9, C18_8, C18_7, C18_6, C18_5, C18_4, C18_3, C18_2, C18",1206,9,4.7uF(50V),
"C19_9, C19_8, C19_7, C19_6, C19_5, C19_4, C19_3, C19_2, C19, C7_9, C7_8, C7_7, C7_6, C7_5, C7_4, C7_3, C7_2, C7",CP_Elec_8x10,18,100uF(50V),
"C24_9, C24_8, C24_7, C24_6, C24_5, C24_4, C24_3, C24_2, C24",0805,9,4.7uF,
"C25_9, C25_8, C25_7, C25_6, C25_5, C25_4, C25_3, C25_2, C25",0805,9,1.0uF,
"C26_9, C26_8, C26_7, C26_6, C26_5, C26_4, C26_3, C26_2, C26",0805,9,150pF,
"C28_9, C28_8, C28_7, C28_6, C28_5, C28_4, C28_3, C28_2, C28",0805,9,0.01uF,
"C3_9, C3_8, C3_7, C3_6, C3_5, C3_4, C3_3, C3_2, C3",1206,9,10uF(50V),
"C30_9, C30_8, C30_7, C30_6, C30_5, C30_4, C30_3, C30_2, C30",1206,9,100uF,
"C31_9, C31_8, C31_7, C31_6, C31_5, C31_4, C31_3, C31_2, C31",0805,9,1.5nF,
"C32_9, C32_8, C32_7, C32_6, C32_5, C32_4, C32_3, C32_2, C32",0603,9,10uF,
"C6_9, C6_8, C6_7, C6_6, C6_5, C6_4, C6_3, C6_2, C6",0805,9,22nF(50V),
"C8_9, C8_8, C8_7, C8_6, C8_5, C8_4, C8_3, C8_2, C8",0805,9,4.7uF(6V3),
"C9_9, C9_8, C9_7, C9_6, C9_5, C9_4, C9_3, C9_2, C9",0603,9,1uF(50V),
"D1_9, D1_8, D1_7, D1_6, D1_5, D1_4, D1_3, D1_2, D1, D2_9, D2_8, D2_7, D2_6, D2_5, D2_4, D2_3, D2_2, D2, D3_9, D3_8, D3_7, D3_6, D3_5, D3_4, D3_3, D3_2, D3, D9_9, D9_8, D9_7, D9_6, D9_5, D9_4, D9_3, D9_2, D9",0603,36,LED_Small,
"D7_9, D7_8, D7_7, D7_6, D7_5, D7_4, D7_3, D7_2, D7, D8_9, D8_8, D8_7, D8_6, D8_5, D8_4, D8_3, D8_2, D8",D_SMA,18,D_Schottky,
"J1_9, J1_8, J1_7, J1_6, J1_5, J1_4, J1_3, J1_2, J1, J2_9, J2_8, J2_7, J2_6, J2_5, J2_4, J2_3, J2_2, J2",JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical,18,B4B-XH-AMLFSN,
"J3_9, J3_8, J3_7, J3_6, J3_5, J3_4, J3_3, J3_2, J3",JST_XH_B8B-XH-AM_1x08_P2.50mm_Vertical,9,B8B-XH-A_LFSN,
"J4_9, J4_8, J4_7, J4_6, J4_5, J4_4, J4_3, J4_2, J4",USB_Micro_B_Female_10118194-0001LF,9,10118194-0001LF,10118194-0001LF
"L1_9, L1_8, L1_7, L1_6, L1_5, L1_4, L1_3, L1_2, L1",L_12x12mm_H8mm,9,L_Iron,
"Q1_9, Q1_8, Q1_7, Q1_6, Q1_5, Q1_4, Q1_3, Q1_2, Q1, Q2_9, Q2_8, Q2_7, Q2_6, Q2_5, Q2_4, Q2_3, Q2_2, Q2",SOT-23,18,S8050,
"R1_9, R1_8, R1_7, R1_6, R1_5, R1_4, R1_3, R1_2, R1, R4_9, R4_8, R4_7, R4_6, R4_5, R4_4, R4_3, R4_2, R4, R5_9, R5_8, R5_7, R5_6, R5_5, R5_4, R5_3, R5_2, R5",0402,27,0(5%),
"R10_9, R10_8, R10_7, R10_6, R10_5, R10_4, R10_3, R10_2, R10, R11_9, R11_8, R11_7, R11_6, R11_5, R11_4, R11_3, R11_2, R11",0402,18,200,
"R12_9, R12_8, R12_7, R12_6, R12_5, R12_4, R12_3, R12_2, R12, R13_9, R13_8, R13_7, R13_6, R13_5, R13_4, R13_3, R13_2, R13, R24_9, R24_8, R24_7, R24_6, R24_5, R24_4, R24_3, R24_2, R24, R9_9, R9_8, R9_7, R9_6, R9_5, R9_4, R9_3, R9_2, R9",0402,36,330,
"R14_9, R14_8, R14_7, R14_6, R14_5, R14_4, R14_3, R14_2, R14",0402,9,100k,
"R15_9, R15_8, R15_7, R15_6, R15_5, R15_4, R15_3, R15_2, R15, R16_9, R16_8, R16_7, R16_6, R16_5, R16_4, R16_3, R16_2, R16",1206,18,80m,
"R17_9, R17_8, R17_7, R17_6, R17_5, R17_4, R17_3, R17_2, R17",0805,9,20k,
"R18_9, R18_8, R18_7, R18_6, R18_5, R18_4, R18_3, R18_2, R18",0402,9,22k,
"R19_9, R19_8, R19_7, R19_6, R19_5, R19_4, R19_3, R19_2, R19",0402,9,549,
"R2_9, R2_8, R2_7, R2_6, R2_5, R2_4, R2_3, R2_2, R2",0402,9,1M,
"R20_9, R20_8, R20_7, R20_6, R20_5, R20_4, R20_3, R20_2, R20",0603,9,5.9k,
"R21_9, R21_8, R21_7, R21_6, R21_5, R21_4, R21_3, R21_2, R21",0402,9,4.7k,
"R22_9, R22_8, R22_7, R22_6, R22_5, R22_4, R22_3, R22_2, R22, R23_9, R23_8, R23_7, R23_6, R23_5, R23_4, R23_3, R23_2, R23, R3_9, R3_8, R3_7, R3_6, R3_5, R3_4, R3_3, R3_2, R3, R7_9, R7_8, R7_7, R7_6, R7_5, R7_4, R7_3, R7_2, R7, R8_9, R8_8, R8_7, R8_6, R8_5, R8_4, R8_3, R8_2, R8",0402,45,10k,
"R6_9, R6_8, R6_7, R6_6, R6_5, R6_4, R6_3, R6_2, R6",0402,9,1k,
"S1_9, S1_8, S1_7, S1_6, S1_5, S1_4, S1_3, S1_2, S1",SW_SPDT_CK-JS102011SAQN,9,EG1218,
"SW1_9, SW1_8, SW1_7, SW1_6, SW1_5, SW1_4, SW1_3, SW1_2, SW1, SW2_9, SW2_8, SW2_7, SW2_6, SW2_5, SW2_4, SW2_3, SW2_2, SW2",SW_Push_SPST_NO_Alps_SKRK,18,SW_Push,
"U1_9, U1_8, U1_7, U1_6, U1_5, U1_4, U1_3, U1_2, U1",ESP32-WROOM-32,9,ESP32-WROOM-32D,
"U2_9, U2_8, U2_7, U2_6, U2_5, U2_4, U2_3, U2_2, U2",QFN-28-1EP_5x5mm_P0.5mm_EP3.75x3.75mm,9,TMC2209-LA-T,
"U3_9, U3_8, U3_7, U3_6, U3_5, U3_4, U3_3, U3_2, U3",MAX3232IPWR,9,MAX3232,
"U4_9, U4_8, U4_7, U4_6, U4_5, U4_4, U4_3, U4_2, U4",SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.514x3.2mm,9,TPS5430DDA,
"U5_9, U5_8, U5_7, U5_6, U5_5, U5_4, U5_3, U5_2, U5",QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,9,INTERFACE-CP2102-GMR(QFN28),CP2102-GMR
"U6_9, U6_8, U6_7, U6_6, U6_5, U6_4, U6_3, U6_2, U6",SOT-223-3_TabPin2,9,LM1117-3.3,
"U7_9, U7_8, U7_7, U7_6, U7_5, U7_4, U7_3, U7_2, U7",SOT-23-6,9,SRV05-4,
