Designator,Mid X,Mid Y,Rotation,Layer
C1_9,86.58,-56.54,90.0,top
C1_8,145.73,-56.54,90.0,top
C1_7,27.43,-121.84,90.0,top
C1_6,145.73,-187.14,90.0,top
C1_5,27.43,-56.54,90.0,top
C1_4,86.58,-121.84,90.0,top
C1_3,27.43,-187.14,90.0,top
C1_2,86.58,-187.14,90.0,top
C1,145.73,-121.84,90.0,top
C10_9,83.641,-30.217,270.0,top
C10_8,142.791,-160.817,270.0,top
C10_7,83.641,-95.517,270.0,top
C10_6,24.491,-95.517,270.0,top
C10_5,24.491,-30.217,270.0,top
C10_4,142.791,-95.517,270.0,top
C10_3,83.641,-160.817,270.0,top
C10_2,24.491,-160.817,270.0,top
C10,142.791,-30.217,270.0,top
C11_9,141.3178,-89.7512,180.0,top
C11_8,82.1678,-24.4512,180.0,top
C11_7,82.1678,-89.7512,180.0,top
C11_6,141.3178,-155.0512,180.0,top
C11_5,23.0178,-155.0512,180.0,top
C11_4,82.1678,-155.0512,180.0,top
C11_3,23.0178,-24.4512,180.0,top
C11_2,141.3178,-24.4512,180.0,top
C11,23.0178,-89.7512,180.0,top
C12_9,106.6534,-183.4738,90.0,top
C12_8,165.8034,-118.1738,90.0,top
C12_7,165.8034,-183.4738,90.0,top
C12_6,106.6534,-52.8738,90.0,top
C12_5,47.5034,-118.1738,90.0,top
C12_4,106.6534,-118.1738,90.0,top
C12_3,47.5034,-183.4738,90.0,top
C12_2,47.5034,-52.8738,90.0,top
C12,165.8034,-52.8738,90.0,top
C13_9,52.9,-18.67,180.0,top
C13_8,112.05,-83.97,180.0,top
C13_7,171.2,-18.67,180.0,top
C13_6,52.9,-149.27,180.0,top
C13_5,52.9,-83.97,180.0,top
C13_4,112.05,-18.67,180.0,top
C13_3,171.2,-149.27,180.0,top
C13_2,112.05,-149.27,180.0,top
C13,171.2,-83.97,180.0,top
C14_9,152.8494,-48.2764,90.0,top
C14_8,152.8494,-178.8764,90.0,top
C14_7,34.5494,-113.5764,90.0,top
C14_6,34.5494,-48.2764,90.0,top
C14_5,93.6994,-178.8764,90.0,top
C14_4,152.8494,-113.5764,90.0,top
C14_3,34.5494,-178.8764,90.0,top
C14_2,93.6994,-113.5764,90.0,top
C14,93.6994,-48.2764,90.0,top
C15_9,78.0687,-145.6996,90.0,top
C15_8,137.2187,-145.6996,90.0,top
C15_7,18.9187,-80.3996,90.0,top
C15_6,18.9187,-15.0996,90.0,top
C15_5,78.0687,-80.3996,90.0,top
C15_4,18.9187,-145.6996,90.0,top
C15_3,78.0687,-15.0996,90.0,top
C15_2,137.2187,-15.0996,90.0,top
C15,137.2187,-80.3996,90.0,top
C16_9,20.9858,-150.8348,0.0,top
C16_8,139.2858,-85.5348,0.0,top
C16_7,80.1358,-20.2348,0.0,top
C16_6,20.9858,-85.5348,0.0,top
C16_5,139.2858,-20.2348,0.0,top
C16_4,80.1358,-150.8348,0.0,top
C16_3,139.2858,-150.8348,0.0,top
C16_2,80.1358,-85.5348,0.0,top
C16,20.9858,-20.2348,0.0,top
C17_9,53.32,-86.3317,0.0,top
C17_8,53.32,-151.6317,0.0,top
C17_7,171.62,-21.0317,0.0,top
C17_6,112.47,-21.0317,0.0,top
C17_5,112.47,-151.6317,0.0,top
C17_4,53.32,-21.0317,0.0,top
C17_3,171.62,-151.6317,0.0,top
C17_2,112.47,-86.3317,0.0,top
C17,171.62,-86.3317,0.0,top
C18_9,88.9,-54.94,90.0,top
C18_8,29.75,-185.54,90.0,top
C18_7,148.05,-120.24,90.0,top
C18_6,29.75,-54.94,90.0,top
C18_5,29.75,-120.24,90.0,top
C18_4,148.05,-54.94,90.0,top
C18_3,88.9,-120.24,90.0,top
C18_2,148.05,-185.54,90.0,top
C18,88.9,-185.54,90.0,top
C19_9,43.1275,-192.955,180.0,top
C19_8,102.2775,-127.655,180.0,top
C19_7,161.4275,-127.655,180.0,top
C19_6,43.1275,-62.355,180.0,top
C19_5,43.1275,-127.655,180.0,top
C19_4,161.4275,-192.955,180.0,top
C19_3,102.2775,-192.955,180.0,top
C19_2,161.4275,-62.355,180.0,top
C19,102.2775,-62.355,180.0,top
C2_9,141.8766,-83.6552,90.0,top
C2_8,23.5766,-148.9552,90.0,top
C2_7,82.7266,-18.3552,90.0,top
C2_6,82.7266,-148.9552,90.0,top
C2_5,141.8766,-148.9552,90.0,top
C2_4,82.7266,-83.6552,90.0,top
C2_3,23.5766,-83.6552,90.0,top
C2_2,23.5766,-18.3552,90.0,top
C2,141.8766,-18.3552,90.0,top
C20_9,51.3,-86.3317,0.0,top
C20_8,169.6,-21.0317,0.0,top
C20_7,51.3,-151.6317,0.0,top
C20_6,169.6,-151.6317,0.0,top
C20_5,110.45,-151.6317,0.0,top
C20_4,110.45,-86.3317,0.0,top
C20_3,51.3,-21.0317,0.0,top
C20_2,110.45,-21.0317,0.0,top
C20,169.6,-86.3317,0.0,top
C21_9,113.6575,-91.2857,270.0,top
C21_8,54.5075,-91.2857,270.0,top
C21_7,172.8075,-156.5857,270.0,top
C21_6,172.8075,-91.2857,270.0,top
C21_5,54.5075,-156.5857,270.0,top
C21_4,172.8075,-25.9857,270.0,top
C21_3,113.6575,-25.9857,270.0,top
C21_2,113.6575,-156.5857,270.0,top
C21,54.5075,-25.9857,270.0,top
C22_9,167.581,-86.3957,180.0,top
C22_8,167.581,-151.6957,180.0,top
C22_7,108.431,-21.0957,180.0,top
C22_6,49.281,-151.6957,180.0,top
C22_5,108.431,-86.3957,180.0,top
C22_4,49.281,-86.3957,180.0,top
C22_3,49.281,-21.0957,180.0,top
C22_2,108.431,-151.6957,180.0,top
C22,167.581,-21.0957,180.0,top
C23_9,70.78,-167.87,0.0,top
C23_8,11.63,-167.87,0.0,top
C23_7,70.78,-102.57,0.0,top
C23_6,11.63,-102.57,0.0,top
C23_5,129.93,-167.87,0.0,top
C23_4,129.93,-37.27,0.0,top
C23_3,129.93,-102.57,0.0,top
C23_2,11.63,-37.27,0.0,top
C23,70.78,-37.27,0.0,top
C24_9,70.75,-157.19,0.0,top
C24_8,129.9,-157.19,0.0,top
C24_7,70.75,-91.89,0.0,top
C24_6,129.9,-26.59,0.0,top
C24_5,11.6,-157.19,0.0,top
C24_4,129.9,-91.89,0.0,top
C24_3,11.6,-26.59,0.0,top
C24_2,70.75,-26.59,0.0,top
C24,11.6,-91.89,0.0,top
C25_9,70.75,-87.89,180.0,top
C25_8,11.6,-22.59,180.0,top
C25_7,11.6,-87.89,180.0,top
C25_6,70.75,-22.59,180.0,top
C25_5,11.6,-153.19,180.0,top
C25_4,129.9,-153.19,180.0,top
C25_3,129.9,-87.89,180.0,top
C25_2,129.9,-22.59,180.0,top
C25,70.75,-153.19,180.0,top
C26_9,23.6,-130.11,90.0,top
C26_8,23.6,-195.41,90.0,top
C26_7,141.9,-195.41,90.0,top
C26_6,141.9,-64.81,90.0,top
C26_5,141.9,-130.11,90.0,top
C26_4,82.75,-130.11,90.0,top
C26_3,23.6,-64.81,90.0,top
C26_2,82.75,-195.41,90.0,top
C26,82.75,-64.81,90.0,top
C27_9,11.6,-24.59,180.0,top
C27_8,11.6,-89.89,180.0,top
C27_7,11.6,-155.19,180.0,top
C27_6,70.75,-89.89,180.0,top
C27_5,129.9,-155.19,180.0,top
C27_4,129.9,-24.59,180.0,top
C27_3,70.75,-24.59,180.0,top
C27_2,129.9,-89.89,180.0,top
C27,70.75,-155.19,180.0,top
C28_9,149.6,-189.19,0.0,top
C28_8,90.45,-58.59,0.0,top
C28_7,31.3,-123.89,0.0,top
C28_6,90.45,-189.19,0.0,top
C28_5,149.6,-58.59,0.0,top
C28_4,90.45,-123.89,0.0,top
C28_3,31.3,-58.59,0.0,top
C28_2,31.3,-189.19,0.0,top
C28,149.6,-123.89,0.0,top
C29_9,146.97,-62.73,90.0,top
C29_8,87.82,-62.73,90.0,top
C29_7,28.67,-193.33,90.0,top
C29_6,28.67,-128.03,90.0,top
C29_5,87.82,-193.33,90.0,top
C29_4,146.97,-128.03,90.0,top
C29_3,28.67,-62.73,90.0,top
C29_2,146.97,-193.33,90.0,top
C29,87.82,-128.03,90.0,top
C3_9,78.48,-186.68,90.0,top
C3_8,78.48,-121.38,90.0,top
C3_7,137.63,-121.38,90.0,top
C3_6,78.48,-56.08,90.0,top
C3_5,19.33,-186.68,90.0,top
C3_4,19.33,-121.38,90.0,top
C3_3,137.63,-186.68,90.0,top
C3_2,19.33,-56.08,90.0,top
C3,137.63,-56.08,90.0,top
C30_9,24.46,-126.99,180.0,top
C30_8,142.76,-61.69,180.0,top
C30_7,83.61,-126.99,180.0,top
C30_6,142.76,-126.99,180.0,top
C30_5,83.61,-61.69,180.0,top
C30_4,142.76,-192.29,180.0,top
C30_3,24.46,-192.29,180.0,top
C30_2,83.61,-192.29,180.0,top
C30,24.46,-61.69,180.0,top
C31_9,84.91,-130.13,90.0,top
C31_8,25.76,-130.13,90.0,top
C31_7,84.91,-64.83,90.0,top
C31_6,25.76,-195.43,90.0,top
C31_5,144.06,-64.83,90.0,top
C31_4,144.06,-195.43,90.0,top
C31_3,144.06,-130.13,90.0,top
C31_2,25.76,-64.83,90.0,top
C31,84.91,-195.43,90.0,top
C32_9,133.85,-176.88,180.0,top
C32_8,74.7,-46.28,180.0,top
C32_7,15.55,-111.58,180.0,top
C32_6,15.55,-46.28,180.0,top
C32_5,74.7,-176.88,180.0,top
C32_4,15.55,-176.88,180.0,top
C32_3,74.7,-111.58,180.0,top
C32_2,133.85,-111.58,180.0,top
C32,133.85,-46.28,180.0,top
C4_9,139.9134,-187.3686,90.0,top
C4_8,21.6134,-187.3686,90.0,top
C4_7,80.7634,-187.3686,90.0,top
C4_6,139.9134,-122.0686,90.0,top
C4_5,80.7634,-56.7686,90.0,top
C4_4,139.9134,-56.7686,90.0,top
C4_3,21.6134,-122.0686,90.0,top
C4_2,21.6134,-56.7686,90.0,top
C4,80.7634,-122.0686,90.0,top
C5_9,82.8462,-56.6162,90.0,top
C5_8,82.8462,-121.9162,90.0,top
C5_7,141.9962,-187.2162,90.0,top
C5_6,23.6962,-187.2162,90.0,top
C5_5,23.6962,-56.6162,90.0,top
C5_4,141.9962,-56.6162,90.0,top
C5_3,23.6962,-121.9162,90.0,top
C5_2,141.9962,-121.9162,90.0,top
C5,82.8462,-187.2162,90.0,top
C6_9,50.4498,-101.8924,315.0,top
C6_8,168.7498,-36.5924,315.0,top
C6_7,109.5998,-167.1924,315.0,top
C6_6,50.4498,-36.5924,315.0,top
C6_5,50.4498,-167.1924,315.0,top
C6_4,109.5998,-36.5924,315.0,top
C6_3,168.7498,-101.8924,315.0,top
C6_2,168.7498,-167.1924,315.0,top
C6,109.5998,-101.8924,315.0,top
C7_9,158.3925,-184.06,180.0,top
C7_8,40.0925,-184.06,180.0,top
C7_7,158.3925,-53.46,180.0,top
C7_6,99.2425,-184.06,180.0,top
C7_5,40.0925,-53.46,180.0,top
C7_4,158.3925,-118.76,180.0,top
C7_3,99.2425,-53.46,180.0,top
C7_2,40.0925,-118.76,180.0,top
C7,99.2425,-118.76,180.0,top
C8_9,44.1506,-100.343,180.0,top
C8_8,103.3006,-100.343,180.0,top
C8_7,162.4506,-100.343,180.0,top
C8_6,162.4506,-165.643,180.0,top
C8_5,44.1506,-165.643,180.0,top
C8_4,44.1506,-35.043,180.0,top
C8_3,103.3006,-165.643,180.0,top
C8_2,103.3006,-35.043,180.0,top
C8,162.4506,-35.043,180.0,top
C9_9,25.6012,-187.394,90.0,top
C9_8,84.7512,-187.394,90.0,top
C9_7,143.9012,-56.794,90.0,top
C9_6,143.9012,-122.094,90.0,top
C9_5,143.9012,-187.394,90.0,top
C9_4,84.7512,-56.794,90.0,top
C9_3,84.7512,-122.094,90.0,top
C9_2,25.6012,-56.794,90.0,top
C9,25.6012,-122.094,90.0,top
D1_9,143.172,-178.343,90.0,top
D1_8,84.022,-47.743,90.0,top
D1_7,143.172,-47.743,90.0,top
D1_6,84.022,-113.043,90.0,top
D1_5,24.872,-178.343,90.0,top
D1_4,143.172,-113.043,90.0,top
D1_3,24.872,-113.043,90.0,top
D1_2,24.872,-47.743,90.0,top
D1,84.022,-178.343,90.0,top
D2_9,81.355,-113.17,270.0,top
D2_8,22.205,-47.87,270.0,top
D2_7,140.505,-113.17,270.0,top
D2_6,81.355,-178.47,270.0,top
D2_5,140.505,-178.47,270.0,top
D2_4,140.505,-47.87,270.0,top
D2_3,22.205,-113.17,270.0,top
D2_2,22.205,-178.47,270.0,top
D2,81.355,-47.87,270.0,top
D3_9,137.711,-47.8954,270.0,top
D3_8,78.561,-178.4954,270.0,top
D3_7,19.411,-47.8954,270.0,top
D3_6,78.561,-113.1954,270.0,top
D3_5,19.411,-113.1954,270.0,top
D3_4,19.411,-178.4954,270.0,top
D3_3,137.711,-113.1954,270.0,top
D3_2,137.711,-178.4954,270.0,top
D3,78.561,-47.8954,270.0,top
D7_9,12.1466,-43.4758,90.0,top
D7_8,12.1466,-174.0758,90.0,top
D7_7,130.4466,-174.0758,90.0,top
D7_6,130.4466,-108.7758,90.0,top
D7_5,12.1466,-108.7758,90.0,top
D7_4,130.4466,-43.4758,90.0,top
D7_3,71.2966,-174.0758,90.0,top
D7_2,71.2966,-43.4758,90.0,top
D7,71.2966,-108.7758,90.0,top
D8_9,32.83,-53.76,90.0,top
D8_8,91.98,-119.06,90.0,top
D8_7,91.98,-53.76,90.0,top
D8_6,32.83,-184.36,90.0,top
D8_5,151.13,-184.36,90.0,top
D8_4,91.98,-184.36,90.0,top
D8_3,151.13,-53.76,90.0,top
D8_2,32.83,-119.06,90.0,top
D8,151.13,-119.06,90.0,top
D9_9,27.793,-113.043,270.0,top
D9_8,146.093,-113.043,270.0,top
D9_7,146.093,-47.743,270.0,top
D9_6,86.943,-47.743,270.0,top
D9_5,86.943,-113.043,270.0,top
D9_4,27.793,-47.743,270.0,top
D9_3,27.793,-178.343,270.0,top
D9_2,146.093,-178.343,270.0,top
D9,86.943,-178.343,270.0,top
J4_9,73.8366,-142.11,180.0,top
J4_8,73.8366,-11.51,180.0,top
J4_7,14.6866,-76.81,180.0,top
J4_6,132.9866,-11.51,180.0,top
J4_5,73.8366,-76.81,180.0,top
J4_4,14.6866,-142.11,180.0,top
J4_3,132.9866,-142.11,180.0,top
J4_2,132.9866,-76.81,180.0,top
J4,14.6866,-11.51,180.0,top
L1_9,173.98,-60.33,90.0,top
L1_8,55.68,-60.33,90.0,top
L1_7,55.68,-125.63,90.0,top
L1_6,55.68,-190.93,90.0,top
L1_5,114.83,-60.33,90.0,top
L1_4,173.98,-125.63,90.0,top
L1_3,173.98,-190.93,90.0,top
L1_2,114.83,-190.93,90.0,top
L1,114.83,-125.63,90.0,top
Q1_9,151.2492,-44.0092,180.0,top
Q1_8,92.0992,-109.3092,180.0,top
Q1_7,32.9492,-44.0092,180.0,top
Q1_6,32.9492,-109.3092,180.0,top
Q1_5,151.2492,-109.3092,180.0,top
Q1_4,151.2492,-174.6092,180.0,top
Q1_3,92.0992,-44.0092,180.0,top
Q1_2,92.0992,-174.6092,180.0,top
Q1,32.9492,-174.6092,180.0,top
Q2_9,27.1492,-43.9842,0.0,top
Q2_8,27.1492,-109.2842,0.0,top
Q2_7,145.4492,-174.5842,0.0,top
Q2_6,145.4492,-109.2842,0.0,top
Q2_5,86.2992,-109.2842,0.0,top
Q2_4,86.2992,-43.9842,0.0,top
Q2_3,86.2992,-174.5842,0.0,top
Q2_2,27.1492,-174.5842,0.0,top
Q2,145.4492,-43.9842,0.0,top
R1_9,139.31,-87.894,0.0,top
R1_8,21.01,-22.594,0.0,top
R1_7,21.01,-87.894,0.0,top
R1_6,80.16,-22.594,0.0,top
R1_5,80.16,-153.194,0.0,top
R1_4,80.16,-87.894,0.0,top
R1_3,139.31,-153.194,0.0,top
R1_2,139.31,-22.594,0.0,top
R1,21.01,-153.194,0.0,top
R10_9,143.4006,-155.102,270.0,top
R10_8,25.1006,-89.802,270.0,top
R10_7,25.1006,-155.102,270.0,top
R10_6,143.4006,-89.802,270.0,top
R10_5,84.2506,-89.802,270.0,top
R10_4,25.1006,-24.502,270.0,top
R10_3,143.4006,-24.502,270.0,top
R10_2,84.2506,-24.502,270.0,top
R10,84.2506,-155.102,270.0,top
R11_9,83.768,-93.3834,180.0,top
R11_8,83.768,-28.0834,180.0,top
R11_7,24.618,-93.3834,180.0,top
R11_6,24.618,-28.0834,180.0,top
R11_5,142.918,-158.6834,180.0,top
R11_4,142.918,-28.0834,180.0,top
R11_3,24.618,-158.6834,180.0,top
R11_2,83.768,-158.6834,180.0,top
R11,142.918,-93.3834,180.0,top
R12_9,22.205,-50.3846,270.0,top
R12_8,81.355,-50.3846,270.0,top
R12_7,140.505,-115.6846,270.0,top
R12_6,22.205,-180.9846,270.0,top
R12_5,140.505,-50.3846,270.0,top
R12_4,81.355,-115.6846,270.0,top
R12_3,81.355,-180.9846,270.0,top
R12_2,22.205,-115.6846,270.0,top
R12,140.505,-180.9846,270.0,top
R13_9,137.711,-181.01,90.0,top
R13_8,19.411,-50.41,90.0,top
R13_7,78.561,-181.01,90.0,top
R13_6,19.411,-181.01,90.0,top
R13_5,19.411,-115.71,90.0,top
R13_4,137.711,-50.41,90.0,top
R13_3,137.711,-115.71,90.0,top
R13_2,78.561,-50.41,90.0,top
R13,78.561,-115.71,90.0,top
R14_9,42.8044,-47.4128,45.0,top
R14_8,101.9544,-178.0128,45.0,top
R14_7,42.8044,-112.7128,45.0,top
R14_6,161.1044,-112.7128,45.0,top
R14_5,101.9544,-112.7128,45.0,top
R14_4,161.1044,-178.0128,45.0,top
R14_3,101.9544,-47.4128,45.0,top
R14_2,42.8044,-178.0128,45.0,top
R14,161.1044,-47.4128,45.0,top
R15_9,112.9272,-42.8916,225.0,top
R15_8,53.7772,-108.1916,225.0,top
R15_7,172.0772,-108.1916,225.0,top
R15_6,172.0772,-173.4916,225.0,top
R15_5,112.9272,-173.4916,225.0,top
R15_4,112.9272,-108.1916,225.0,top
R15_3,53.7772,-42.8916,225.0,top
R15_2,53.7772,-173.4916,225.0,top
R15,172.0772,-42.8916,225.0,top
R16_9,109.295,-114.2368,135.0,top
R16_8,50.145,-114.2368,135.0,top
R16_7,168.445,-114.2368,135.0,top
R16_6,109.295,-179.5368,135.0,top
R16_5,168.445,-48.9368,135.0,top
R16_4,50.145,-179.5368,135.0,top
R16_3,50.145,-48.9368,135.0,top
R16_2,109.295,-48.9368,135.0,top
R16,168.445,-179.5368,135.0,top
