Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_0805_2012Metric,1,10uF(50V),
"C10, C11",C_0603_1608Metric,2,1uF,
C12,C_0805_2012Metric,1,100nF(10V),
"C13, C15, C2",C_0402_1005Metric,3,0.1uF(10%),
"C14, C4, C5",C_0805_2012Metric,3,100nF(50V),
C16,C_0402_1005Metric,1,2.2uF,
"C17, C20, C21, C22, C23, C27, C29",C_0402_1005Metric,7,0.1uF,
C18,C_1206_3216Metric,1,4.7uF(50V),
"C19, C7",CP_Elec_8x10,2,100uF(50V),
C24,C_0805_2012Metric,1,4.7uF,
C25,C_0805_2012Metric,1,1.0uF,
C26,C_0805_2012Metric,1,150pF,
C28,C_0805_2012Metric,1,0.01uF,
C3,C_1206_3216Metric,1,10uF(50V),
C30,C_1206_3216Metric,1,100uF,
C31,C_0805_2012Metric,1,1.5nF,
C32,C_0603_1608Metric,1,10uF,
C6,C_0805_2012Metric,1,22nF(50V),
C8,C_0805_2012Metric,1,4.7uF(6V3),
C9,C_0603_1608Metric,1,1uF(50V),
"D1, D2, D3, D9",LED_0603_1608Metric,4,LED_Small,
"D4, D5, D6",D_0603_1608Metric,3,D_TVS,
"D7, D8",D_SMA,2,D_Schottky,
"J1, J2",JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical,2,B4B-XH-AMLFSN,
J3,JST_XH_B8B-XH-AM_1x08_P2.50mm_Vertical,1,B8B-XH-A_LFSN,
J4,USB_Micro_B_Female_10118194-0001LF,1,10118194-0001LF,10118194-0001LF
L1,L_12x12mm_H8mm,1,L_Iron,
"Q1, Q2",SOT-23,2,S8050,
"R1, R4, R5",R_0402_1005Metric,3,0(5%),
"R10, R11",R_0402_1005Metric,2,200,
"R12, R13, R24, R9",R_0402_1005Metric,4,330,
R14,R_0402_1005Metric,1,100k,
"R15, R16",R_1206_3216Metric,2,80m,
R17,R_0805_2012Metric,1,20k,
R18,R_0402_1005Metric,1,22k,
R19,R_0402_1005Metric,1,549,
R2,R_0402_1005Metric,1,1M,
R20,R_0603_1608Metric,1,5.9k,
R21,R_0402_1005Metric,1,4.7k,
"R22, R23, R3, R7, R8",R_0402_1005Metric,5,10k,
R6,R_0402_1005Metric,1,1k,
S1,SW_SPDT_CK-JS102011SAQN,1,EG1218,
"SW1, SW2",SW_Push_SPST_NO_Alps_SKRK,2,SW_Push,
U1,ESP32-WROOM-32,1,ESP32-WROOM-32D,
U2,QFN-28-1EP_5x5mm_P0.5mm_EP3.75x3.75mm,1,TMC2209-LA-T,
U3,MAX3232IPWR,1,MAX3232,
U4,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.514x3.2mm,1,TPS5430DDA,
U5,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,1,INTERFACE-CP2102-GMR(QFN28),CP2102-GMR
U6,SOT-223-3_TabPin2,1,LM1117-3.3,
