Designator,Mid X,Mid Y,Rotation,Layer
C1,20.43,10.76,90.0,top
C10,17.491,37.083,-90.0,top
C11,16.0178,42.8488,180.0,top
C12,40.5034,14.4262,90.0,top
C13,45.9,48.63,180.0,top
C14,27.5494,19.0236,90.0,top
C15,11.9187,52.2004,90.0,top
C16,13.9858,47.0652,0.0,top
C17,46.32,46.2683,0.0,top
C18,22.75,12.36,90.0,top
C19,36.1275,4.945,0.0,top
C2,16.5766,48.9448,90.0,top
C20,44.3,46.2683,0.0,top
C21,47.5075,41.3143,-90.0,top
C22,42.281,46.2043,180.0,top
C23,4.63,30.03,0.0,top
C24,4.6,40.71,0.0,top
C25,4.6,44.71,180.0,top
C26,16.6,2.49,90.0,top
C27,4.6,42.71,180.0,top
C28,24.3,8.71,0.0,top
C29,21.67,4.57,90.0,top
C3,12.33,11.22,90.0,top
C30,17.46,5.61,180.0,top
C31,18.76,2.47,90.0,top
C32,8.55,21.02,180.0,top
C4,14.6134,10.5314,90.0,top
C5,16.6962,10.6838,90.0,top
C6,43.4498,30.7076,-45.0,top
C7,33.0925,13.84,0.0,top
C8,37.1506,32.257,180.0,top
C9,18.6012,10.506,90.0,top
D1,17.872,19.557,90.0,top
D2,15.205,19.43,-90.0,top
D3,12.411,19.4046,-90.0,top
D4,10.8616,53.9486,0.0,top
D5,4.283,52.1706,180.0,top
D6,4.3084,53.8978,180.0,top
D7,5.1466,23.8242,90.0,top
D8,25.83,13.54,90.0,top
D9,20.793,19.557,-90.0,top
J1,51.798,16.823,90.0,bottom
J2,28.81,31.765,180.0,bottom
J3,51.781,30.352,90.0,bottom
J4,7.6866,55.79,180.0,top
L1,48.68,6.97,90.0,top
Q1,25.9492,23.2908,0.0,top
Q2,20.1492,23.3158,180.0,top
R1,14.01,44.706,0.0,top
R10,18.1006,42.798,-90.0,top
R11,17.618,39.2166,180.0,top
R12,15.205,16.9154,-90.0,top
R13,12.411,16.89,90.0,top
R14,35.8044,19.8872,45.0,top
R15,46.7772,24.4084,-135.0,top
R16,43.145,18.3632,135.0,top
R17,34.6614,21.8176,-135.0,top
R18,37.5504,30.6,180.0,top
R19,21.725,2.4213,90.0,top
R2,13.9996,45.8472,180.0,top
R20,14.71,2.61,90.0,top
R21,5.22,39.06,180.0,top
R22,20.44,2.38,90.0,top
R23,5.64,28.94,0.0,top
R24,20.793,16.907,-90.0,top
R3,11.4,50.42,0.0,top
R4,39.34,48.47,0.0,top
R5,39.34,47.27,0.0,top
R6,38.82,42.82,90.0,top
R7,23.0536,24.5354,180.0,top
R8,23.0536,22.0462,180.0,top
R9,17.872,17.017,90.0,top
S1,47.76,58.09,180.0,top
SW1,42.11,50.52,90.0,top
SW2,14.266,50.5678,-90.0,top
U1,28.448,44.029,0.0,top
U2,39.081,24.891,-135.0,top
U3,43.8975,41.1443,-90.0,top
U4,26.137,4.8219,0.0,top
U5,10.2012,28.7772,-90.0,top
U6,5.83,15.61,-90.0,top
